levels;alpha_beta;method;trial;turns;outcome;real_time;date;time
2;0;weighted;13;52;black_won;1.2825698852539062;2022-05-19;00:26:57.947303
2;0;weighted;14;36;black_won;1.3623571395874023;2022-05-19;00:26:59.229873
2;0;weighted;15;20;black_won;0.8537166118621826;2022-05-19;00:27:00.595223
2;0;weighted;16;27;whites_won;1.0162818431854248;2022-05-19;00:27:01.449937
2;0;weighted;17;25;whites_won;1.063157320022583;2022-05-19;00:27:02.468213
2;0;weighted;18;45;whites_won;1.6396152973175049;2022-05-19;00:27:03.533365
2;0;weighted;19;29;whites_won;0.6901545524597168;2022-05-19;00:27:05.174975
2;0;weighted;20;41;whites_won;0.8597011566162109;2022-05-19;00:27:05.866127
2;0;weighted;21;60;black_won;1.3154823780059814;2022-05-19;00:27:06.727823
2;0;weighted;22;58;black_won;1.4720633029937744;2022-05-19;00:27:08.044302
2;0;weighted;23;23;black_won;0.7789177894592285;2022-05-19;00:27:09.516366
2;0;weighted;24;60;black_won;1.7553298473358154;2022-05-19;00:27:10.296280
2;0;weighted;25;35;whites_won;1.3590548038482666;2022-05-19;00:27:12.051610
2;0;weighted;26;54;black_won;1.4684052467346191;2022-05-19;00:27:13.410665
2;0;weighted;27;39;whites_won;1.17661452293396;2022-05-19;00:27:14.879070
2;0;weighted;28;29;whites_won;0.6359751224517822;2022-05-19;00:27:16.055685
2;0;weighted;29;18;black_won;0.5415523052215576;2022-05-19;00:27:16.693654
2;0;weighted;30;27;black_won;0.5844371318817139;2022-05-19;00:27:17.236204
2;0;weighted;31;41;whites_won;1.316479206085205;2022-05-19;00:27:17.821638
2;0;weighted;32;29;whites_won;0.5964055061340332;2022-05-19;00:27:19.139115
2;0;weighted;33;58;black_won;1.5378870964050293;2022-05-19;00:27:19.736518
2;0;weighted;34;19;whites_won;0.9165492057800293;2022-05-19;00:27:21.275402
2;0;weighted;35;60;black_won;1.7413437366485596;2022-05-19;00:27:22.192949
2;0;weighted;36;27;whites_won;0.8796474933624268;2022-05-19;00:27:23.935290
2;0;weighted;37;43;whites_won;1.8478903770446777;2022-05-19;00:27:24.816932
2;0;weighted;38;31;whites_won;1.077871561050415;2022-05-19;00:27:26.664822
2;0;weighted;39;36;black_won;0.937279462814331;2022-05-19;00:27:27.742694
2;0;weighted;40;41;whites_won;1.359055995941162;2022-05-19;00:27:28.679973
2;0;weighted;41;50;black_won;1.8371188640594482;2022-05-19;00:27:30.039029
2;0;weighted;42;23;whites_won;0.9005911350250244;2022-05-19;00:27:31.877145
2;0;weighted;43;18;black_won;0.5425491333007812;2022-05-19;00:27:32.778734
2;0;weighted;44;43;whites_won;1.6346290111541748;2022-05-19;00:27:33.323278
2;0;weighted;45;60;black_won;1.6864900588989258;2022-05-19;00:27:34.958904
2;0;weighted;46;16;black_won;0.5744636058807373;2022-05-19;00:27:36.646391
2;0;weighted;47;25;whites_won;0.9963357448577881;2022-05-19;00:27:37.221853
2;0;weighted;48;29;whites_won;0.6133594512939453;2022-05-19;00:27:38.220183
2;1;simple;0;68;draw;4.147929430007935;2022-05-19;00:26:41.780210
2;1;simple;1;43;whites_won;0.468639612197876;2022-05-19;00:26:45.928139
2;1;simple;2;43;whites_won;0.4061548709869385;2022-05-19;00:26:46.396779
2;1;simple;3;30;black_won;0.28118395805358887;2022-05-19;00:26:46.802934
2;1;simple;4;31;whites_won;0.34366893768310547;2022-05-19;00:26:47.084118
2;1;simple;5;57;whites_won;0.7386720180511475;2022-05-19;00:26:47.427787
2;1;simple;6;34;black_won;0.31116795539855957;2022-05-19;00:26:48.168453
2;1;simple;7;41;whites_won;0.265291690826416;2022-05-19;00:26:48.480618
